animal_id,name,datetime,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A636629,,09/07/2014 04:31:00 PM,Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie
A645513,,05/18/2015 07:30:00 AM,Stray,Injured,Cat,Neutered Male,6 years,Domestic Longhair Mix,Cream Tabby/White
A904714,,05/13/2024 01:24:00 PM,Stray,Sick,Cat,Intact Male,1 weeks,Domestic Shorthair,Blue
A846230,*Brody,11/12/2021 08:52:00 AM,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull,Brown Brindle
A853481,*Lovebird,03/19/2022 12:05:00 PM,Stray,Normal,Dog,Intact Female,1 year,American Pit Bull Terrier/Labrador Retriever,Black/White
A872909,*Ken Doll,01/17/2023 10:42:00 AM,Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Cream
A878958,*Jenni,04/19/2023 03:14:00 PM,Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
A880043,,05/03/2023 06:44:00 PM,Stray,Neonatal,Cat,Intact Male,1 weeks,Domestic Shorthair,Black
A883761,*Levi,06/23/2023 10:23:00 AM,Stray,Normal,Dog,Intact Male,7 years,Blue Lacy Mix,Blue
A888504,Cooper,09/07/2023 05:16:00 PM,Abandoned,Normal,Dog,Neutered Male,8 years,Black Mouth Cur Mix,Tan
A892393,*Marina,11/05/2023 10:15:00 AM,Stray,Sick,Dog,Intact Female,5 years,Labrador Retriever/Pit Bull,Black/Black
A892413,*Huey,11/05/2023 03:14:00 PM,Stray,Injured,Dog,Intact Male,6 months,Australian Cattle Dog,White/Brown
A892955,Cloudy Bear,11/13/2023 08:33:00 PM,Stray,Injured,Cat,Intact Male,3 years,Domestic Shorthair,Blue/White
A892786,Cashew,11/20/2023 01:24:00 PM,Owner Surrender,Normal,Dog,Neutered Male,2 years,Pit Bull Mix,Tan
A893841,*Happy,11/29/2023 12:15:00 PM,Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black
A895106,*Venus,12/27/2023 10:30:00 AM,Abandoned,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie/White
A897463,*Mississippi,02/02/2024 10:03:00 AM,Stray,Injured,Dog,Intact Female,2 years,Black Mouth Cur Mix,Red
A897724,*Tina,02/06/2024 08:02:00 AM,Abandoned,Injured,Dog,Intact Female,10 years,Labrador Retriever,Brown/Black
A897868,*Denver,02/08/2024 08:55:00 AM,Stray,Injured,Dog,Intact Male,1 year,Labrador Retriever/Chinese Sharpei,Black
A897943,*Pepper,02/09/2024 11:52:00 AM,Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A900126,*Lennox,03/14/2024 07:40:00 PM,Stray,Sick,Dog,Intact Male,1 year,Black Mouth Cur,Tan/Black
A901143,*Telly,04/04/2024 11:18:00 AM,Stray,Normal,Dog,Intact Female,1 year,Australian Cattle Dog,White/Brown
A902357,*Dinosaur,04/16/2024 11:13:00 AM,Owner Surrender,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Black
A903222,Queen,04/26/2024 10:19:00 PM,Public Assist,Injured,Dog,Intact Female,3 years,Pit Bull,Chocolate/White
A901646,*Updog,05/03/2024 03:35:00 PM,Stray,Normal,Dog,Intact Male,2 years,Catahoula Mix,Blue Merle/Black
A904323,*Addie,05/09/2024 09:24:00 AM,Abandoned,Injured,Dog,Intact Female,1 year,Pit Bull,Brown/White
A904451,*Simone,05/10/2024 10:49:00 AM,Stray,Normal,Cat,Intact Female,6 years,Domestic Shorthair Mix,Brown Tabby/White
A861888,*Hami,05/15/2024 01:18:00 PM,Stray,Normal,Dog,Neutered Male,3 years,Plott Hound,Brown Brindle/White
A905098,*Melon,05/17/2024 05:23:00 AM,Public Assist,Sick,Dog,Spayed Female,3 years,Pit Bull Mix,Blue
A906688,*Candy Land,06/06/2024 12:08:00 PM,Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
A906755,Penny,06/06/2024 08:57:00 PM,Owner Surrender,Normal,Dog,Spayed Female,7 years,Labrador Retriever Mix,Tan
A906816,*Kermit,06/07/2024 12:33:00 PM,Stray,Normal,Dog,Intact Male,11 months,American Pit Bull Terrier,Black/Tan
